"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst","identifier","improved_sewer","unpiped_sewer","surface_sewer","piped_sewer","unimproved_sewer","improved_water","unpiped_water","surface_water","piped_water","unimproved_water","p_density","elevation","longitude","latitude","AnnualPrecip","AnPET","AridityIndex"
"ETH","ET",1949,3143,18889,52341,1,,,2009,,,91,9,91,4,91,0,1,5166,0.0989010989010989,0.043956043956044,0,0.130669662081646,11627.5608797677,1,1,1,2,6.52579632537736,6.11028048167199,17.0595452335878,0.415516563009137,76.4146594836758,50.247468564282,30.5983253810875,34.2758147668519,19.649145080472,15.4767148249997,201.820564784459,1698.27128600952,42.39694,9.3010169,341.122264159994,992.53377075464,0.17187355148366
"ETH","ET",1948,3189,18966,52466,3,,,2008,,,0,0,491,41,491,46,1,5214,,0.0835030549898167,0.0936863543788187,,0,3,3,80,4,15.1296015964587,14.6263556441068,68.5365631280388,0.503245153186058,16.3338340232115,72.0032290684516,5.54088650285222,13.0586525691791,66.4623480517573,14.9381160954675,50.7045713784354,1356.978696528,40.489674,9.1450005,397.154367327267,1097.48179088604,0.180911998973124
"ETH","ET",1948,3135,18845,52290,3,,,2009,,,107,17,107,9,107,7,1,5147,0.158878504672897,0.0841121495327103,0.0654205607476635,0.26417478545497,26869.1854700369,4,4,4,5,41.4570061987483,40.321640180831,34.2190151736495,1.13536503807113,24.3239770735815,57.0970778192766,20.6411446252935,23.9147794536551,36.4559366584232,18.9881411662316,40.7724571881975,1655.85205760003,38.267101,5.39575,370.392276458535,915.73075061943,0.202288123432508
"ETH","ET",1948,3144,18747,52147,3,,,2009,,,107,1,107,1,107,4,1,5103,0.00934579439252336,0.00934579439252336,0.0373831775700935,0.0521622044256621,23942.6937220195,6,6,6,7,44.8357742832865,44.2556457491223,32.1919627273321,0.580126507914126,22.9722645558905,37.9347577766966,22.8829314043865,28.8758862262038,15.051827369126,33.1893536717595,145.509365731376,1677.664607168,38.681099,7.99264,457.863063100559,946.975639352195,0.241810666759137
"ETH","ET",1948,3155,18756,52166,3,,,2009,,,78,33,78,31,78,5,1,5107,0.423076923076923,0.397435897435897,0.0641025641025641,0.636463244618877,35155.0745457139,9,9,9,10,5.68221743959529,5.20749546597191,19.326651485829,0.474721972544087,74.9911297420323,46.5305753002233,20.3476951126073,25.5868943046726,26.1828820949646,27.8825283327702,94.456460004534,1837.96245238144,35.750702,8.5789204,910.63807924422,839.538143765615,0.542206273118335
"ETH","ET",1948,3155,18787,52198,1,,,2009,,,101,55,101,36,101,4,1,5121,0.544554455445545,0.356435643564356,0.0396039603960396,0.677829942826929,5088.07254845178,12,12,12,13,23.6268378795567,23.043441823929,57.9211094766759,0.583396280276008,18.4520534229583,46.9691897635999,13.8386035751928,22.9817066902141,33.1305855710707,30.0491038842481,157.070860316685,2355.91339872099,38.4060986,9.0465617,461.620505826901,860.460584601385,0.268550697641166
"ETH","ET",1948,3689,19002,52493,3,,,2009,,,105,10,105,12,105,5,1,5228,0.0952380952380952,0.114285714285714,0.0476190476190476,0.223395737450416,19179.784092131,15,15,15,16,2.59289474998472,2.23364977299656,49.0213753874791,0.359244825399362,48.3857269866072,48.5777363561638,28.9740112606958,24.4481964416605,19.6037232505343,26.9740663194307,200.7636605399,1805.06267395488,38.313599,7.3650999,485.582517518144,928.391870363175,0.2614750721348
"ETH","ET",1948,3164,18867,52316,3,,,2009,,,99,5,99,38,99,7,1,5156,0.0505050505050505,0.383838383838384,0.0707070707070707,0.430494611007574,16468.4271300551,16,16,16,17,42.8546604144409,42.2966535844067,29.0934415347532,0.558006801909964,28.0518985964015,54.459621672627,22.4170784509819,22.0937666340838,32.0425426247936,23.446613246491,65.2221485898775,1771.60443440002,34.6469,8.9694595,680.133340292735,834.081220412165,0.408486746126681
"ETH","ET",1948,3155,18815,52233,3,,,2009,,,103,67,103,22,103,4,1,5130,0.650485436893204,0.213592233009709,0.0388349514563107,0.694163438878578,33617.6023126897,21,21,21,22,5.55750659835882,4.92307713087547,11.7940539194442,0.634429516498478,82.6484387910962,54.6810600300842,24.4728053290982,16.7381888448839,30.2082549692277,28.5807522305076,114.266968505859,1598.98997490176,35.396301,8.6219397,808.91815622885,842.87981455376,0.479715804481679
"ETH","ET",1943,3171,18602,,3,,,2015,,,464,68,0,0,0,0,1,29507,0.146551724137931,,,,0,23,23,22,23,13.9126250911305,13.2608373963402,51.2545351443078,0.651786852727163,34.8328404217154,45.8544270061037,1.94313323741251,16.567486537124,43.9112936340319,37.5780845951521,185.100006103516,2034.49996001279,37.633333,11.716667,636.407785478845,901.49913634517,0.353209038148469
